idnumber,title,artistcalc,datemade,materials,measurement
0.36,The Gleaners,"Millet, Jean Francois",,etching,Sheet: 9 1/8 x 12 in.
1870.1,Flight into Egypt,"Patinir, Joachim (School of)",1545-1555,oil on wood panel,10 7/8 x 14 1/8 in.
1870.2,Battle of Constantine,"Vernet, Jean-Horace (Attributed to)",,pencil,12 7/8 x 30 7/8 in.
1873.1,Westward the course of empire takes its way (Bishop Berkeley),"Weir, John F.",1873,oil on canvas,72 3/8 x 51 1/4 in.
1881.2,Hetch Hetchy Valley,"Shapleigh, Frank H.",1871,oil on canvas,36 x 60 1/4 in.
1881.3,"El Capitan and Cathedral Rocks, Yosemite","Shapleigh, Frank H.",,oil on canvas,36 1/2 x 60 in.
1881.4,Yosemite Winter Scene,"Bierstadt, Albert",1872,oil on canvas,32 1/8 x 48 1/8 in.
1882.1,Washington Rallying the Troops at Monmouth,"Leutze, Emanuel",1853-1854,oil on canvas,156 x 261 in.
1891.1,Edward Roland Sill,"Keith, William",,oil on canvas,30 1/8 x 25 in.
1894.1,Cities of the Golden Gate,"Yelland, Raymond Dabb",1893,oil on canvas,55 x 96 1/2 in.
1898.1,"Piazzetta Di San Marco by Moonlight, Venice",Unknown (Italy),1834-1867,oil on canvas,52 1/2 x 72 1/2 in.
1910.1,George Hearst,"Borg, Carl Oscar",1910,oil,49 3/4 x 39 7/8 in.
1918.1,John M. Eshleman,"Patigian, Haig",1916,bronze,25 x 17 x 12 1/2 in.
1919.1,Phoebe Apperson Hearst,"Poddock, Willard",1918,bronze,20 x 12 x 10 in.
1919.1,"Nihonbashi, Gyoretsu furidashi [#1]","Hiroshige, Ando",1833-1834,Full color woodblock printing,8 7/16 x 13 3/4 in.
1919.2,"Shinagawa, Shoko Idetachi[#2]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.2.1,Alpine Landscape,"Michalitschke, Emma",1892,oil on canvas,74 x 90 in.
1919.2.2,Baron MÅnchausen at the Court of Catherine the Great,"Michalitschke, Emma",1894,oil on canvas,70 1/2 x 114 in.
1919.2.3,Columbus and the Egg,"Michalitschke, Emma",,oil on canvas,35 x 25 1/2 in.
1919.2.4,The Deluge,"Michalitschke, Emma",,oil on canvas,48 1/8 x 36 1/4 in.
1919.2.5,Eagles Attacking Stag,"Michalitschke, Emma",,oil on canvas,68 7/8 x 71 1/4 in.
1919.2.6,The Finding of Moses,"Michalitschke, Emma",1907,oil on canvas,50 x 50 in.
1919.2.7,Untitled (Alpine landscape with rapids),"Michalitschke, Emma",,oil on canvas,39 x 50 1/2 in.
1919.2.8,Yosemite Landscape,"Michalitschke, Emma",1913,oil on canvas,50 x 44 in.
1919.2.9,Gretchen in Church,"Michalitschke, Emma",,oil on canvas,48 1/2 x 38 5/8 in.
1919.2.10,Russian Wedding Feast,"Michalitschke, Emma",,oil on canvas,43 1/4 x 68 1/2 in.
1919.2.11,Turkish Interior,"Michalitschke, Emma",1914,oil on canvas,45 1/8 x 62 7/8 in.
1919.2.12,View of Constantinople,"Michalitschke, Emma",1906,oil on canvas,35 1/8 x 91 1/2 in.
1919.2.13,Untitled (forest scene with waterfall and moose),"Michalitschke, Emma",1914,oil on canvas,50 x 36 in.
1919.2.14,A Woman in Regal Attire,"Michalitschke, Emma",,oil on canvas,100 1/4 x 69 1/4 in.
1919.3,"Kawasaki, Rokugo Watashibune[#3] (Ferry at Kawasaki)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.4,"Kanagawa, Dai no kei[#4]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 7/8 x 14 1/4 in.
1919.6,"Totsuka Motomachi wakaremichi (Totsuka, Junction to Motomachi)  Station 6 from ""Fifty-three Stations on the Tokaido""","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.7,"Fujisawa, Yugyoji[#7]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.8,"Hiratsuka, Nawatedo[#8] (Nawate Highway)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.9,"Oiso, Tora ga Ame (Heavy Rain at Oiso) Station 9 from ""Fifty-three Stations on the Tokaido""","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.1,"Oiso, Tora ga Ame[#10] (Heavy Rain at Oiso)","Hiroshige, Ando",1833-1834,Full color woodblock printing,8 1/2 x 14 1/4 in.
1919.11,"Odawara, Sakawagawa?[#10] (Sakawa River)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.12,"Hakone, Kosui zu [#11] (Hakone, View of Lake)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.13,"Numazu, Tasogare zu[#13] (Twilight at Numazu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 7/8 x 14 1/4 in.
1919.14,"Hara, Asa no Fuji (Fuji in the Morning at Hara) Station 14 from ""Fifty-three Stations on the Tokaido""","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 13 3/8 in.
1919.15,"Yoshiwara, Hidari Fuji[#15] (Yoshiwara, Fuji to the Left)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.16,"Kambara, Yoru no yuki[#16] (Night Snow at Kambara)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.17,"Yui, Satta Toge[#17] (Satta Pass at Yui)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.18,"Okitsu, Okitsugawa  [#18](Okitsu River)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.19,"Ejiri, Miho Enbo  [#19](Distant View of Miho at Ejiri)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.2,"Mishima, Asagiri  [#12](Morning Fog at Mishima)","Hiroshige, Ando",1833-1834,Full color woodblock printing,8 3/4 x 14 1/4 in.
1919.21,"Fuchu, Abekawa  [#20](Abe River at Fuchu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.22,"Mariko, Meibutsu Chaya  [#21](Popular Teahouse at Mariko)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.23,"Kokabe, Utsu no yama (Mount Utsa at Okabe) Station 22 from ""Fifty-three Stations on the Tokaido""","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.24,"Fujieda, Jinba Tsugitate  [#23](Changing Station at Fujieda)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.25,"Shimada, Oigawa Shungan  [#24](First Arm of the Ford of Oi River at Shimada)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/4 x 13 3/4 in.
1919.26,"Kanaya, Oigawa Engan  [#25](Farther portion of the ford of Oi River, Kanaya)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.27,"Nissaka, Sayo no Nakayama  [#26](Sayo no Nakayama at Nissaka)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.3,"Mitsuke, Tenryugawa no zu  [#29](Tenryu River at Mitsuke)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.31,"Hamamatsu, Fuyugare no zu  [#30](Barren Winter Scenery at Hamamatsu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.32,"Maisaka, Imaki (?) Shinkei  [#31](View of Imaki Maisaka)","Hiroshige, Ando",1833-1834,Full color woodblock printing,8 3/4 x 13 1/2 in.
1919.33,Arai Watashibune no zu  [#32](Ferry boats at Arai),"Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.34,"Shirasuka, Shiomizaka no zu  [#33](Shiomi Hill, Shirasuka)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.35,"Futagawa, Saruga baba  [#34]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.36,"Yoshida, Toyokawabashi  [#35](Toyokawa Bridge, Yoshida)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.37,"Goyu, Ryojin Ryujo  [#36]","Hiroshige, Ando; Horiko Jirobei",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.38,"Akasaka, Ryosha shofu no zu  [#37]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.39,"Fujikawa, Bobana no zu  [#38](Head of Procession, Fujikawa)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.4,"Okazaki, Yahagi no Hashi  [#39](Yahagi Bridge, Okazaki)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/4 x 13 3/4 in.
1919.41,"Chiryu, Shuka Umaichi (Horse Fair in Summer, Chiryu) Station 40 from ""Fifty-three Stations on the Tokaido""","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.42,"Narumi, Meibutsu Arimatsu Shibori  [#41](Famed Arimatsu Dyed Materials, Narumi)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.44,"Shono, Haku-u  [#46](Rainstorm in Shono)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.46,"Seki, Honjin Hayadachi[#48] (Early Start of Daimyo Procession at Seki)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.47,"Sakanoshita, Fudesutemine[#49] (Fudesute Peak, Sakanoshita)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.48,"Ishibe, Mekawa no sato[#52] (Mekawa Village at Ishibe)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/4 x 14 in.
1919.49,"Kusatsu, Meibutsu Tateba[#53] (Popular Rest Stop, Kusatsu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.50.a,"Otsu, Hashirii Chamise[#54] (Hashirii Tea House at Otsu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.50.b,"Otsu, Hashirii Chamise[#54] (Hashirii Tea House at Otsu)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/4 x 13 3/4 in.
1919.51,"Kyoto, Sanjo Ohashi[#55] (Sanjo Bridge at Kyoto)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 1/2 x 14 1/4 in.
1919.52,Nissaka Sayo no Nakayama Yonakiishi Mukanyama Embo,"Hiroshige, Ando",1841-1842,Full color woodblock printing,7 3/4 x 12 3/8 in.
1919.53,Hamamatsu Zasanza no Matsu (Pine Trees in Hamamatsu),"Hiroshige, Ando",1841-1842,Full color woodblock printing,7 7/8 x 12 3/8 in.
1919.54,"Fujikawa Yamanaka no Shuku Shoka (Shops at Yamanaka, Fujikawa)","Hiroshige, Ando",1841-1842,Full color woodblock printing,7 5/8 x 12 1/2 in.
1919.55,Ishiyakushi,"Hiroshige, Ando",1841-1842,Full color woodblock printing,8 5/8 x 12 3/4 in.
1919.56,"Tsuchiyama Suzukasan Uchu no zu (Rain over Mount Suzuka, Tsuchiyama)","Hiroshige, Ando",1841-1842,Full color woodblock printing,7 3/4 x 12 3/8 in.
1919.57,Kusatsu,"Hiroshige, Ando",1841-1842,Full color woodblock printing,8 5/8 x 12 3/4 in.
1919.58,Totsuka,"Hiroshige, Ando",1841-1842,Full color woodblock printing,7 3/4 x 12 3/8 in.
1919.59,"Odawara Sakawagawa Kawa Watashi (Ford at Sakawa River, Odawara)","Hiroshige, Ando",1841-1842,Full color woodblock printing,7 7/8 x 12 1/2 in.
1919.6,"Kambara, Iwabuchi Yori Fujigawa o Miru zu (Fujigawa River Seen from Iwabuchi at Kanbara)","Hiroshige, Ando",1841-1842,Full color woodblock printing,7 3/4 x 12 1/2 in.
1919.61,Ejiri,"Hiroshige, Ando",1841-1842,Full color woodblock printing,9 x 13 1/2 in.
1919.62,Fujisawa (Number Seven),"Hiroshige, Ando",7/1855,Full color woodblock printing,13 3/8 x 8 7/8 in.
1919.63,"Numazu, Ashigarayama Fuji Yukibare (Number Thirteen, Snow Clad Mount Ashigara and Mount Fuji Seen from Numazu)","Hiroshige, Ando",7/1855,Full color woodblock printing,14 3/4 x 10 in.
1919.64,"Yui, Sattatoge Oyashirazu (Number Seventeen)","Hiroshige, Ando",7/1855,Full color woodblock printing,13 7/8 x 9 1/8 in.
1919.66,"Yoshida, Toyokawa Ohashi (Number Thirty Five, Great Toyokawa Bridge in Yoshida)","Hiroshige, Ando",7/1855,Full color woodblock printing,13 3/8 x 8 3/4 in.
1919.67,"Kuwana, Shichiri no Watashi bune (Number Forty Three, Ferry Boat at Shichiri, Kuwana)","Hiroshige, Ando",7/1855,Full color woodblock printing,13 7/8 x 8 3/4 in.
1919.68,"Kameyama Fuu Raimei (Number Forty Seven, Thunder Storm at Kameyama)","Hiroshige, Ando",7/1855,Full color woodblock printing,13 7/8 x 8 3/4 in.
1919.69,"Kyo, Sanjo Ohashi (Number Fifty Five, Sanjo Bridge, Kyoto)","Hiroshige, Ando",8/1855,Full color woodblock printing,13 1/2 x 10 in.
1919.7,Miyanokoshi [#37 of the series],"Hiroshige, Ando",1835-1842,Full color woodblock printing,10 x 14 7/8 in.
1919.71,Tarui [#58 of the series],"Hiroshige, Ando",1835-1842,Full color woodblock printing,9 1/4 x 14 in.
1919.72,Yodogawa (Yodo River),"Hiroshige, Ando",1834,Full color woodblock printing,
1919.73,Iga Ueno (Ueno in the Iga Province),"Hiroshige, Ando; Horita",7/1853,Full color woodblock printing,14 5/8 x 10 1/8 in.
1919.74,"Izu Shuzenji Tojiba (Hot Springs at Shuzenji, Izu)","Hiroshige, Ando; Horitake",1853,Full color woodblock printing,13 1/4 x 8 3/4 in.
1919.75,"Awa, Kominato Uchiura (Inner Bay, Kominato, Awa Province [Chiba Prefecture])","Hiroshige, Ando; Horitake",8/1853,Full color woodblock printing,14 1/2 x 10 in.
1919.76,"Edo Asakusa ichi (Asakusa Fair, Edo)","Hiroshige, Ando",1853,Full color woodblock printing,13 1/8 x 8 7/8 in.
1919.77,Omi Biwako Ishiyamadera (Ishiyama Temple at Lake Biwa in Omi Province),"Hiroshige, Ando; Horitake",7/1853,Full color woodblock printing,14 7/8 x 10 1/8 in.
1919.78,"Kozuke Harunasan Sekichu (Snow in Mount Haruna, Kozuke Province)","Hiroshige, Ando; Horitake",7/1853,Full color woodblock printing,14 1/4 x 9 3/8 in.
1919.79,"Dewa, Mogamigawa Gessan Enbo (Mogami River and Gessan Mount in Distance, Dewa)","Hiroshige, Ando; Horitake",8/1853,Full color woodblock printing,14 1/4 x 9 7/8 in.
1919.8,"Kaga, Kanazawa Hassho no uchi, Hasuko no Izaribi (Of the Eight Famed Views at Kanazawa, the Fishing lights on LakeHasu, Kaga Province)","Hiroshige, Ando",9/1855,Full color woodblock printing,14 1/2 x 10 in.
1919.81,"Tajima Iwaidani Kutsu Kannon (Kannon in Grotto at Iwaidani, Tajima Province)","Hiroshige, Ando",1855,Full color woodblock printing,13 1/4 x 8 7/8 in.
1919.82,Izumo Taisha Hotohoto no zu,"Hiroshige, Ando; Hori Sennosuke",12/1853,Full color woodblock printing,14 1/4 x 9 3/8 in.
1919.83,Tosa Kaijo Matsuo tsuri,"Hiroshige, Ando",c. 1855,Full color woodblock print,3 3/4 x 9 1/4 in.
1919.84,"Toto Sukiyagashi (Sukiya River Band, Edo)[#2 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,13 1/8 x 8 1/2 in.
1919.85,Toto Tsukuda Oki [number three of the series],"Hiroshige, Ando",4/1858,Full color woodblock printing,14 3/8 x 9 3/4 in.
1919.86,Toto Ochanomizu [number four of the series],"Hiroshige, Ando",4/1858,Full color woodblock printing,14 3/8 x 9 3/4 in.
1919.87,Zoshigaya Fujimi Chaya (Fuji-view Teahouse at Zoshigaya)[#9 of the series],"Hiroshige, Ando",4/1858,Full color woodblock printing,13 1/4 x 8 3/4 in.
1919.88,"Konodai, Toné gawa [number eleven of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 x 9 3/8 in.
1919.89,Musashi Tamagawa (Tama River at Musashi)[#13 of the series],"Hiroshige, Ando",4/1858,Full color woodblock printing,13 1/8 x 8 1/2 in.
1919.9,"Sochu Miura no Kaijo (Sea off Miura, Sagami Province)[#17 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/4 x 9 1/2 in.
1919.91,Sagami gawa (Sagami River)[#18 of the series],"Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/2 x 9 5/8 in.
1919.92,"Sagami gawa Iriguchi (Entrance to Enoshima, Sagami Province)[#20 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 x 9 1/2 in.
1919.93,"Kai Misaka goé (Misaka Pass, Kai Province)[#23 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/2 x 9 5/8 in.
1919.94,"Boshu, Hota no Kaigan (Hota Beach, Boshu)[#31 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/2 x 9 5/8 in.
1919.95,"Kazusa, Rokusozan (Mount Rokuso, Kazusa)[#32 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,13 1/4 x 8 1/2 in.
1919.96,"Shimosa Koganegahara (Koganehara, Shimosa)[#34 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/2 x 9 5/8 in.
1919.97,"Shinano Shiojiri toge (Shiojiri Pass, Shinano Province)[#36 of the series]","Hiroshige, Ando",4/1858,Full color woodblock printing,14 1/2 x 9 3/4 in.
1919.98,Kakuchu Shinonome (Dawn Inside Yoshiwara),"Hiroshige, Ando",4/1857,Full color woodblock printing,14 1/2 x 10 in.
1919.99,Sunamura Moto Hachiman (Moto Hachiman Shrine at Sunamura),"Hiroshige, Ando",2/1856,Full color woodblock printing,14 1/4 x 9 3/4 in.
1919.1,"Kawaguchi no Watashi, Zenkoji(Zenkoji Temple at Ferry of Kawaguchi)","Hiroshige, Ando",2/1857,Full color woodblock printing,14 1/2 x 9 3/4 in.
1919.101,Yamashita-cho Hibiya gai Sakurada,"Hiroshige, Ando",2/1857,Full color woodblock printing,14 5/8 x 9 3/8 in.
1919.102,Suruga-cho,"Hiroshige, Ando",2/1856,Full color woodblock printing,13 1/4 x 8 1/2 in.
1919.103,Yanagi Shima(Yanagi Island),"Hiroshige, Ando",4/1857,Full color woodblock printing,13 1/4 x 8 1/4 in.
1919.104,"Meguro Chiyogaike(Chiyogaike Pond, Meguro)","Hiroshige, Ando",7/1857,Full color woodblock printing,13 1/4 x 8 1/8 in.
1919.105,Mitsumata Wakarenofuchi(Separating Bank at Three Branches of River),"Hiroshige, Ando",2/1857,Full color woodblock printing,14 1/4 x 9 3/8 in.
1919.106,Yatsuminohashi(Yatsumi Bridge),"Hiroshige, Ando",1855,Full color woodblock printing,14 1/4 x 9 3/4 in.
1919.107,Ohashi Atake no Yudachi(Sudden Shower over Ohashi Bridge and Atake),"Hiroshige, Ando",9/1857,Full color woodblock printing,14 1/4 x 9 3/4 in.
1919.108,Nakagawaguchi(Nakagawa River Mouth),"Hiroshige, Ando",2/1857,Full color woodblock printing,14 1/4 x 9 3/8 in.
1919.109,Horié Nekozané(Horié and Nekozané),"Hiroshige, Ando",2/1856,Full color woodblock printing,14 1/4 x 9 5/8 in.
1919.11,Saruwakacho Yoru no kei (Night Scene at Saruwakacho),"Hiroshige, Ando",9/1856,Full color woodblock printing,14 x 9 1/4 in.
1919.111,Nijuku no Watashi(Nijuku Ferry),"Hiroshige, Ando",2/1857,Full color woodblock printing,14 1/4 x 9 1/2 in.
1919.112,Teppozu Tsukiji Monseki(Teppozu Tsukiji Honganji Temple),"Hiroshige, Ando",7/1858,Full color woodblock printing,14 1/4 x 9 3/8 in.
1919.113,Asakusa Kinryuzan(Asakusa Kinryuzan Temple),"Hiroshige, Ando",7/1856,Full color woodblock printing,14 1/4 x 9 5/8 in.
1919.114,Minami Shinagawa Samezu Kaigan(Minami Shinagawa and Samezu Coast),"Hiroshige, Ando",2/1857,Full color woodblock printing,14 1/2 x 9 7/8 in.
1919.115,Meguro Taiko Bashi Yuhi no Oka,"Hiroshige, Ando",1857,Color woodblock print,13 1/4 x 8 5/8 in.
1919.116,"Oji Shozuku Enoki Omisoka no Kitsunebi(New Year's Eve Foxfires at the Changing Tree, Oji)","Hiroshige, Ando",4/1857,Full color woodblock printing,13 x 8 1/2 in.
1919.117,Atagoshita Yabu Koji(Atagoshita and Yabu Lane),"Hiroshige, Ando",12/1857,Full color woodblock printing,14 3/8 x 9 3/4 in.
1919.118,Toranomon gai Aoi zaka(Aoi slope outside Toranomon Gate),"Hiroshige, Ando",11/1857,Full color woodblock printing,13 x 8 1/2 in.
1919.119,Fukagawa Suzaki Jumantsubo(Fukagawa Suzaki and Jumantsubo),"Hiroshige, Ando",5/1857,Full color woodblock printing,13 1/8 x 8 5/8 in.
1919.12,Bikunibashi Sekichu(Bikuni Bridge in Snow),"Hiroshige, Ando",10/1858,Full color woodblock printing,13 1/4 x 8 3/4 in.
1919.121,Oumayagashi(Oumayagashi),"Hiroshige, Ando",12/1857,Full color woodblock printing,14 x 9 3/4 in.
1919.122,Akabane Suitengu(Suitengu Shrine at Akabane),"Hiroshige, Ando",3/1858,Full color woodblock printing,9 3/8 x 14 7/8 in.
1919.123,Ochanomizu,"Hiroshige, Ando",11/1858,Full color woodblock printing,10 1/4 x 14 1/8 in.
1919.124,Nihonbashi Edobashi (Nihon Bridge and Edo Bridge),"Hiroshige, Ando",11/1858,Full color woodblock printing,8 5/8 x 13 1/4 in.
1919.125,"Tsukiji Nishi Gomonseki(West Gate, Tsukiji)","Hiroshige, Ando",11/1854,Full color woodblock printing,10 x 14 in.
1919.126,"Ueno, Shinobazu no iké Benten no Yashiro(Benten Shrine on Shinobazu Pond, Ueno)","Hiroshige, Ando",8/1853,Full color woodblock printing,9 1/8 x 13 3/4 in.
1919.127,Ryogokubashi Yuryo(Cooling off by Ryogoku Bridge),"Hiroshige, Ando",8/1853,Full color woodblock printing,8 1/2 x 13 1/2 in.
1919.128,Ohashi Nakasu Mitsumata(Great Bridge by Middle Bank at Mitsumata),"Hiroshige, Ando",11/1854,Full color woodblock printing,8 5/8 x 13 in.
1919.129,"Kamedo Tenmangu Keidai(Shrine grounds at Tenmangu, Kamedo)","Hiroshige, Ando",11/1853,Full color woodblock printing,10 x 14 3/4 in.
1919.13,Tsukudajima Sumiyoshi no Yashiro(Sumiyoshi Shrine on Tsukuda Island),"Hiroshige, Ando",8/1853,Full color woodblock printing,10 x 14 1/2 in.
1919.131,Meguro Fudoson(Fudo Shrine at Meguro),"Hiroshige, Ando",11/1854,Full color woodblock printing,8 3/4 x 13 3/8 in.
1919.132,"Kasumigaseki Yukei(Evening scene, Kasumigaseki)","Hiroshige, Ando",1841-1842,Full color woodblock printing,9 7/8 x 14 3/8 in.
1919.133,Asukayama Hanamori(Flower Viewing Party at Mount Asuka),"Hiroshige, Ando",1841-1842,Full color woodblock printing,8 1/2 x 13 3/8 in.
1919.134,Shin Yoshiwara Nakanomachi Yozakura(Cherry blossoms at Night in Nakanomachi in the New Yoshiwara),"Hiroshige, Ando",1841-1842,Full color woodblock printing,9 3/8 x 14 1/8 in.
1919.135.a,Asakusa Kinryusan Toshi no Ichi(Year end Fair at Asakusa Temple),"Hiroshige, Ando",1841-1850,Full color woodblock printing,9 5/8 x 13 3/4 in.
1919.135.b,Asakusa Kinryusan Toshi no Ichi,"Hiroshige, Ando",1841-1850,Full color woodblock printing,9 7/8 x 14 3/4 in.
1919.136,"Shiba Zojoji(Zojoji Temple, Shiba)","Hiroshige, Ando",1841-1850,Full color woodblock printing,10 x 14 5/8 in.
1919.137,"Oji Takinokawa(Taki River, Oji)","Hiroshige, Ando",1841-1850,Full color woodblock printing,9 7/8 x 14 1/2 in.
1919.138,Nippori,"Hiroshige, Ando",1841-1850,Full color woodblock printing,9 3/4 x 14 1/2 in.
1919.139,Dokanyama Mushi Kiki no zu(Listening to the Crickets at Mount Dokan),"Hiroshige, Ando",1841-1850,Full color woodblock printing,9 1/4 x 14 1/4 in.
1919.14,Yoshiwara Yuki no Asa(Snow in the Morning at Yoshiwara),"Hiroshige, Ando",1841-1850,Full color woodblock printing,9 1/2 x 14 1/8 in.
1919.141,Ryogokubashi Noryo(Cooling off under the Ryogoku Bridge),"Hiroshige, Ando",1832-1833,Full color woodblock printing,10 x 14 5/8 in.
1919.142,Asukayama Hanami(Flower Viewing on Asuka Hill),"Hiroshige, Ando",1832-1833,Full color woodblock printing,9 3/4 x 14 1/4 in.
1919.143,Ueno Shinobazu no ike(Shinobazu Pond at Ueno),"Hiroshige, Ando",1832-1833,Full color woodblock printing,10 x 14 3/4 in.
1919.144,Yoshiwara Nakanomachi Yozakura(Cherry Blossoms at Night in Nakanomachi),"Hiroshige, Ando",1832-1834,Full color woodblock printing,9 7/8 x 14 3/8 in.
1919.145,Shiba Myojin Keidai(Grounds of Shiba Myojin Shrine),"Hiroshige, Ando",1832-1834,Full color woodblock printing,8 7/8 x 13 5/8 in.
1919.146,Zojoji Sannai no zu(View Inside Zojoji Temple),"Hiroshige, Ando",1832-1834,Full color woodblock printing,10 1/4 x 15 in.
1919.147,Ueno Toeizan(Temple of Toeizan at Ueno),"Hiroshige, Ando",1843-1847,Full color woodblock printing,10 x 14 5/8 in.
1919.148,Kamedo Ume Yashiki(Plum Blossoms at Kamedo),"Hiroshige, Ando",1843-1847,Full color woodblock printing,10 x 14 3/4 in.
1919.149,Gohyaku Rakan Sazai do[Inscribed on top left],"Hiroshige, Ando",1840-1858,Full color woodblock printing,9 1/4 x 13 3/4 in.
1919.15,Asukayama Hanami(Flower Viewing on Mount Asuka),"Hiroshige, Ando",1830's,Full color woodblock printing,8 3/4 x 13 1/2 in.
1919.151,Yoshiwara Yoru no sakura(Evening Cherry Blossoms at Yoshiwara),"Hiroshige, Ando",1830's,Full color woodblock printing,7 1/2 x 10 1/4 in.
1919.152,Shiba Shinmei Sairei(Festival at Shrines of Shiba),"Hiroshige, Ando",1830's,Full color woodblock printing,7 1/2 x 10 1/4 in.
1919.153,"Ueno Shinobazu Hasuiké(Lotus of Shinobazu Pond, Ueno)","Hiroshige, Ando",1843-1847,Full color woodblock printing,9 3/4 x 14 3/8 in.
1919.154,Gotenyama Hanami no zu(Flower Viewing at Gotenyama),"Hiroshige, Ando",1843-1847,Full color woodblock printing,8 5/8 x 13 1/2 in.
1919.155,Sakurada gai no zu(View outside Sakurada Gate),"Hiroshige, Ando",1835-1839,Full color woodblock printing,8 3/4 x 13 3/4 in.
1919.156,Shiba Atago Sanjo Chobo no zu(View atop Mount Atago at Shiba),"Hiroshige, Ando",1840-1842,Full color woodblock printing,9 1/2 x 14 3/8 in.
1919.157,Gotenyama Hanami(Flower Viewing at Gotenyama),"Hiroshige, Ando",2/1852,Full color woodblock printing,14 7/8 x 5 in.
1919.158,Nihonbashi Sekichu no Kei(View of Nihonbashi in Snow),"Hiroshige, Ando",1835-1839,Full color woodblock printing,15 x 5 in.
