idnumber,title,artistcalc,datemade,materials,measurement
1991.22.1,St. Jerome,"Rotari, Pietro",1720-1762,etching,9 3/4 x 7 in.
1991.22.2,Joost van del Vondel,"de Visscher, Cornelis",1650-1662,engraving,Sheet: 11 3/8 x 9 3/8 in.
1991.22.3,"Standing Warrior Leaning on Sword, from Figurine Series","Rosa, Salvator",1630-1673,etching,Sheet: 5 3/4 x 3 3/4 in.
1991.22.4,"Standing Man and Woman and Sitting Maid, from Figurine Series","Rosa, Salvator",1630-1673,etching,Sheet: 5 3/4 x 3 3/4 in.
1991.22.5,Man with Furcoat and Featherhead,"Płoński, Michał",1800-1812,etching,Sheet: 4 3/8 x 3 in.
1991.22.6,Rembrandt's Beggar,"Płoński, Michał",1790-1812,etching,Sheet: 2 5/8 x 4 1/2 in.
1991.22.7,Old Man with Rosary,"Callot, Jacques",,"etching,",
1991.23.1,Taming Expansion,"Askevold, David",1971,lithograph on paper,6 3/4 x 10 3/4 in.
1991.23.2,Doronato,"Askevold, David",1971-1973,lithograph on paper,9 x 8 in.
1991.23.3,Untitled,"Ferguson, Gerald",1973,,
1991.23.4,The Standard Corpus of Present Day English Language Usage,"Ferguson, Gerald",1970,,
1991.23.5,Two Fours,"Ferguson, Gerald",1967-1977,photocopy on paper,10 x 8 1/2 in.
1991.23.6,Hand Clapping,"Ferguson, Gerald",1972,photocopy on paper,10 x 8 1/2 in.
1991.23.7,Untitled,"Ferguson, Gerald",1970,photocopy on paper,10 x 8 1/2 in.
1991.23.8,Variable Piece #5,"Huebler, Douglas",1963-1970,,
1991.24,Goldfish (Pesce Oro),"Provenzano, Sam",1958-1968,oil on canvas,40 3/8 x 48 1/4 in.
1991.25.1.a-e,Floating Cards,"Goode, Joe",1969,color lithography,22 1/2 x 30 in.
1991.25.2,Girl with Antelope,"Ramos, Mel",1969,lithograph,24 x 32 in.
1991.25.3,Girl with Jaguar,"Ramos, Mel",1969,lithograph,24 x 32 in.
1991.25.4,Untitled,"Ray, Man",,lithograph I,Image: 25 1/2 x 19 5/8 in.
1991.25.5,Untitled,"Ray, Man",,"lithograph,  IV",Image: 25 1/2 x 19 5/8 in.
1991.25.6,Untitled,"Ray, Man",,"lithograph, III OMLXX",Image: 25 3/4 x 19 in.
1991.26.1,Ratcliffe Power Station,"Kenna, Michael",1984-1986,toned gelatin silver print,6 x 9 in.
1991.26.2,Ratcliffe Power Station,"Kenna, Michael",1986,toned gelatin silver print,6 x 9 in.
1991.26.3,Ratcliffe Power Station,"Kenna, Michael",1986,toned gelatin silver print,6 x 9 in.
1991.26.4,Ratcliffe Power Station,"Kenna, Michael",1986,toned gelatin silver print,6 x 9 in.
